id_odsp,league,ht,at,fthg,ftag,MATCH_ID
jw3suRD3/,F1,Toulouse,Brest,3,1,2236
S4HnJqip/,F1,Lille,Valenciennes,2,1,2237
t8LjI36j/,F1,Montpellier,Nice,3,1,2238
Y18xt7bc/,F1,Stade de Reims,Troyes,1,1,2239
6eEoTBhp/,D1,Mainz,TSG Hoffenheim,3,0,2240
0fexjZac/,D1,Fortuna Dusseldorf,VfL Wolfsburg,1,4,2241
lGRJXipT/,D1,SC Freiburg,Borussia Dortmund,0,2,2242
M3dYjFpi/,D1,SpVgg Greuther Furth,Werder Bremen,1,1,2243
GQZ6zf0A/,D1,Schalke 04,Nurnberg,1,0,2244
vHvoRROO/,I1,Siena,Palermo,0,0,2245
b1qQVkAg/,I1,AC Milan,Genoa,1,0,2246
8xzvQ3IN/,SP1,Real Betis,Valencia,1,0,2247
Ew30s5mb/,SP1,Celta Vigo,Deportivo La Coruna,1,1,2248
QD64tP24/,SP1,Rayo Vallecano,Barcelona,0,5,2249
YJsRS5Y4/,SP1,Espanyol,Malaga,0,0,2250
vc0tR9e2/,E0,Everton,Liverpool,2,2,2251
061xSktd/,E0,Chelsea,Manchester Utd,2,3,2252
IsWMZ1a2/,E0,Newcastle,West Brom,2,1,2253
jeUUXuUE/,E0,Southampton,Tottenham,1,2,2254
rXuGO5TM/,F1,Lorient,AC Ajaccio,4,4,2255
fB9Ytmqi/,F1,Bastia,Bordeaux,3,1,2256
fHYAZDFG/,D1,VfB Stuttgart,Eintracht Frankfurt,2,1,2257
niV2yzo4/,D1,Bayern Munich,Bayer Leverkusen,1,2,2258
xtOFYXUM/,D1,Hannover 96,Borussia Monchengladbach,2,3,2259
xneHXBus/,I1,Catania,Juventus,0,1,2260
AwSmkvBE/,I1,Bologna,Internazionale,1,3,2261
0QusS79I/,I1,Sampdoria,Cagliari,0,1,2262
AymUU9Pa/,I1,Napoli,Chievo Verona,1,0,2263
4bnYTTv6/,I1,US Pescara,Atalanta,0,0,2264
GxfLWVfm/,I1,Fiorentina,Lazio,2,0,2265
hKSSkB1P/,I1,Torino,Parma,1,3,2266
rkoxTmfC/,I1,AS Roma,Udinese,2,3,2267
KG3droYi/,SP1,Mallorca,Real Madrid,0,5,2268
tQ4hqRIo/,SP1,Real Zaragoza,Sevilla,2,1,2269
48L9Ksto/,SP1,Levante,Granada,3,1,2270
fZVZQq3H/,SP1,Atletico Madrid,Osasuna,3,1,2271
2aZsPNXT/,SP1,Athletic Bilbao,Getafe,1,2,2272
CAtVRPmB/,SP1,Real Valladolid,Real Sociedad,2,2,2273
S0aOvogO/,I1,Palermo,AC Milan,2,2,2274
Yw0KuRwI/,I1,Lazio,Torino,1,1,2275
xC6Bsm95/,I1,Internazionale,Sampdoria,3,2,2276
UuKfoV9t/,I1,Atalanta,Napoli,1,0,2277
KzdGt7OB/,I1,Juventus,Bologna,2,1,2278
je83q9vg/,I1,Chievo Verona,US Pescara,2,0,2279
6ibSw58U/,I1,Parma,AS Roma,3,2,2280
6RUYblvt/,I1,Udinese,Catania,2,2,2281
C49apkPn/,I1,Cagliari,Siena,4,2,2282
bL77rTga/,I1,Genoa,Fiorentina,0,1,2283
rXRKhpr3/,F1,Brest,Lorient,2,0,2284
OfiHj6j8/,D1,Eintracht Frankfurt,SpVgg Greuther Furth,1,1,2285
n395Rw7r/,E0,Fulham,Everton,2,2,2286
rkg8oabE/,E0,Tottenham,Wigan,0,1,2287
j5ZSl2um/,E0,Swansea,Chelsea,1,1,2288
0QXYSjrm/,E0,West Ham,Manchester City,0,0,2289
4bf4nuq8/,E0,Sunderland,Aston Villa,0,1,2290
fTCDPHye/,E0,Manchester Utd,Arsenal,2,1,2291
xh2IOyi1/,E0,Norwich City,Stoke City,1,0,2292
xfROi4c9/,F1,Stade Rennes,Stade de Reims,1,0,2293
UTNGgQSd/,F1,Paris Saint-Germain,St Etienne,1,2,2294
zR4gxPcM/,F1,Troyes,Montpellier,1,1,2295
GpQSjOCF/,F1,Valenciennes,Sochaux,3,1,2296
lYpUVMzj/,F1,Nice,AS Nancy Lorraine,2,1,2297
IkfbyqDS/,F1,Evian Thonon Gaillard,Lille,0,2,2298
S8BIV4Er/,D1,Hannover 96,FC Augsburg,2,0,2299
fHftkgF3/,D1,Borussia Dortmund,VfB Stuttgart,0,0,2300
Ai3ZRMD7/,D1,Hamburg SV,Bayern Munich,0,3,2301
EP9QTrqe/,D1,Nurnberg,VfL Wolfsburg,1,0,2302
8KbplDU9/,D1,Borussia Monchengladbach,SC Freiburg,1,1,2303
dlaVS2b1/,D1,TSG Hoffenheim,Schalke 04,3,2,2304
buzgfQhB/,I1,AC Milan,Chievo Verona,5,1,2305
Klyke6w5/,I1,Juventus,Internazionale,1,3,2306
QZsug2nA/,SP1,Barcelona,Celta Vigo,3,1,2307
8xd9uqIA/,SP1,Malaga,Rayo Vallecano,1,2,2308
fgbLxs2T/,SP1,Valencia,Atletico Madrid,2,0,2309
6XRweOHc/,SP1,Real Madrid,Real Zaragoza,4,0,2310
GxE9QcMl/,E0,Liverpool,Newcastle,1,1,2311
je6MNe67/,E0,QPR,Reading,1,1,2312
KbtQW2Lq/,F1,Bordeaux,Toulouse,1,0,2313
Oj1kw5rG/,F1,AC Ajaccio,Marseille,0,2,2314
SOqYUtjd/,F1,Lyon,Bastia,5,2,2315
zZAMUOTl/,D1,Werder Bremen,Mainz,2,1,2316
jqlkmXqG/,D1,Bayer Leverkusen,Fortuna Dusseldorf,3,2,2317
lUS5iOxU/,I1,AS Roma,Palermo,4,1,2318
pITxb8gn/,I1,Bologna,Udinese,1,1,2319
QkKXnroo/,I1,Sampdoria,Atalanta,1,2,2320
65w1h4NN/,I1,US Pescara,Parma,2,0,2321
vuTtcS8h/,I1,Catania,Lazio,4,0,2322
vg8FBRNo/,I1,Siena,Genoa,1,0,2323
xQopdnOb/,I1,Fiorentina,Cagliari,4,1,2324
SEvcgp8H/,I1,Napoli,Torino,1,1,2325
StTZe42i/,SP1,Sevilla,Levante,0,0,2326
nTfDv3XG/,SP1,Real Sociedad,Espanyol,0,1,2327
nqqyfrX3/,SP1,Deportivo La Coruna,Mallorca,1,0,2328
EwuhXKPj/,SP1,Granada,Athletic Bilbao,1,2,2329
G2aHwNnN/,SP1,Osasuna,Real Valladolid,0,1,2330
MZYUTWSt/,E0,West Brom,Southampton,2,0,2331
0zylY0Ap/,SP1,Getafe,Real Betis,2,4,2332
MNvKNPrT/,F1,Sochaux,Evian Thonon Gaillard,2,1,2333
fV5kZesr/,F1,AS Nancy Lorraine,Stade Rennes,1,3,2334
d2v4s2Df/,D1,Mainz,Nurnberg,2,1,2335
n7RNpvfj/,SP1,Real Betis,Granada,1,2,2336
vy7tnWlP/,E0,Reading,Norwich City,0,0,2337
U5PkP8sC/,E0,Everton,Sunderland,2,1,2338
8jysRUCa/,E0,Aston Villa,Manchester Utd,2,3,2339
fmXxSAcg/,E0,Arsenal,Fulham,3,3,2340
0vD7sjct/,E0,Stoke City,QPR,1,0,2341
8tUXmMfg/,E0,Southampton,Swansea,1,1,2342
f1CBtACn/,E0,Wigan,West Brom,1,2,2343
CWw1ie3Q/,F1,Toulouse,AC Ajaccio,2,4,2344
jHkhgHYD/,F1,Bastia,Valenciennes,2,3,2345
OAc6VDt7/,F1,Lille,Brest,1,0,2346
U7ldhylK/,F1,Stade de Reims,Evian Thonon Gaillard,1,2,2347
YL4gYFdl/,F1,St Etienne,Troyes,2,0,2348
zgw8tMS0/,D1,FC Augsburg,Borussia Dortmund,1,3,2349
Ewkarrbl/,D1,SC Freiburg,Hamburg SV,0,0,2350
2ojLkQ5E/,D1,Bayern Munich,Eintracht Frankfurt,2,0,2351
KMpQlpLK/,D1,Schalke 04,Werder Bremen,2,1,2352
rJtGv0cD/,D1,Fortuna Dusseldorf,TSG Hoffenheim,1,1,2353
xA57aLUj/,I1,US Pescara,Juventus,1,6,2354
beOG95hb/,I1,Cagliari,Catania,0,0,2355
b1LL5uWF/,SP1,Rayo Vallecano,Celta Vigo,3,2,2356
QmND7113/,SP1,Real Zaragoza,Deportivo La Coruna,5,3,2357
KdsqhM1G/,SP1,Malaga,Real Sociedad,1,2,2358
YaomitHM/,SP1,Espanyol,Osasuna,0,3,2359
xWScNnCO/,E0,Newcastle,West Ham,0,1,2360
buUgOSdI/,E0,Manchester City,Tottenham,2,1,2361
jFQoQlS5/,E0,Chelsea,Liverpool,1,1,2362
Sr4cXZBf/,F1,Lorient,Bordeaux,0,4,2363
tn81WgR0/,F1,Sochaux,Lyon,1,1,2364
YZqSnFBs/,F1,Montpellier,Paris Saint-Germain,1,1,2365
21dAUXeD/,F1,Marseille,Nice,2,2,2366
bDqUm4zR/,D1,VfB Stuttgart,Hannover 96,2,4,2367
4SsCutr7/,D1,SpVgg Greuther Furth,Borussia Monchengladbach,2,4,2368
GhWeqOrr/,D1,VfL Wolfsburg,Bayer Leverkusen,3,1,2369
Iq7JAowh/,I1,Atalanta,Internazionale,3,2,2370
pCQS63xH/,I1,Lazio,AS Roma,3,2,2371
6REy5s7T/,I1,Palermo,Sampdoria,2,0,2372
bJ6301Fp/,I1,Parma,Siena,0,0,2373
W8MO7qNA/,I1,Genoa,Napoli,2,4,2374
vFqjO47i/,I1,Torino,Bologna,1,0,2375
SzGX5NiN/,I1,AC Milan,Fiorentina,1,3,2376
xnNK8P74/,I1,Chievo Verona,Udinese,2,2,2377
S24A8snc/,SP1,Levante,Real Madrid,1,2,2378
KAMH6LG9/,SP1,Mallorca,Barcelona,2,4,2379
GOzhj0WS/,SP1,Real Valladolid,Valencia,1,1,2380
QcQRqb9d/,SP1,Athletic Bilbao,Sevilla,2,1,2381
IXMJoKvp/,SP1,Atletico Madrid,Getafe,2,0,2382
2FyqqXA6/,F1,Lorient,Lille,2,0,2383
baduzQeU/,E0,Reading,Everton,2,1,2384
xp8WynRH/,E0,Norwich City,Manchester Utd,1,0,2385
YiBFuURh/,E0,Arsenal,Tottenham,5,2,2386
UJ4Ow8d5/,E0,Liverpool,Wigan,3,0,2387
nXSymtAa/,E0,Newcastle,Swansea,1,2,2388
K8cyy6tO/,E0,QPR,Southampton,1,3,2389
Ot4SxSBB/,E0,Manchester City,Aston Villa,5,0,2390
lOXpe9Ru/,E0,West Brom,Chelsea,2,1,2391
jyIw5EXP/,F1,Brest,Bastia,3,0,2392
OOxupDe0/,F1,Evian Thonon Gaillard,St Etienne,2,2,2393
MJ450Yus/,F1,Valenciennes,Montpellier,1,1,2394
CpJZ5fIJ/,F1,Paris Saint-Germain,Stade Rennes,1,2,2395
6mrzogtf/,F1,Troyes,AS Nancy Lorraine,3,3,2396
SdqWoZQm/,F1,AC Ajaccio,Sochaux,0,1,2397
hlO61N4Q/,D1,Bayer Leverkusen,Schalke 04,2,0,2398
MPTsgaC6/,D1,Hamburg SV,Mainz,1,0,2399
pOKb3qzE/,D1,Borussia Dortmund,SpVgg Greuther Furth,3,1,2400
EaQZfLsf/,D1,Nurnberg,Bayern Munich,1,1,2401
4lJnhJRC/,D1,Eintracht Frankfurt,FC Augsburg,4,2,2402
fcAYdsDs/,D1,Hannover 96,SC Freiburg,1,2,2403
bRO223kK/,D1,Borussia Monchengladbach,VfB Stuttgart,1,2,2404
CQ2v2Ejk/,I1,Napoli,AC Milan,2,2,2405
I33z3fyq/,I1,Juventus,Lazio,0,0,2406
zmWaJb0F/,SP1,Barcelona,Real Zaragoza,3,1,2407
EXsiLKV2/,SP1,Real Madrid,Athletic Bilbao,5,1,2408
C81daw9q/,SP1,Valencia,Espanyol,2,1,2409
fTEU3J0S/,SP1,Osasuna,Malaga,0,0,2410
jT5Kvlsa/,E0,Fulham,Sunderland,1,3,2411
0A39ahem/,F1,Bordeaux,Marseille,1,0,2412
dxymriQC/,F1,Nice,Toulouse,1,0,2413
AuuisBuJ/,F1,Lyon,Stade de Reims,3,0,2414
8MPwfuc0/,D1,TSG Hoffenheim,VfL Wolfsburg,1,3,2415
z9RVe1Sm/,D1,Werder Bremen,Fortuna Dusseldorf,2,1,2416
tvt7KM6G/,I1,Internazionale,Cagliari,2,2,2417
jkmfNOMc/,I1,Bologna,Palermo,3,0,2418
pCnbMrx4/,I1,Catania,Chievo Verona,2,1,2419
O2o2L2iA/,I1,Fiorentina,Atalanta,4,1,2420
nqeiaCz8/,I1,Siena,US Pescara,1,0,2421
8hdm0hL1/,I1,Sampdoria,Genoa,3,1,2422
00bYNeD8/,I1,Udinese,Parma,2,2,2423
8ze5cHwd/,SP1,Granada,Atletico Madrid,0,1,2424
hOteKvo9/,SP1,Deportivo La Coruna,Levante,0,2,2425
QB50bcOk/,SP1,Getafe,Real Valladolid,2,1,2426
nRg9dyg2/,SP1,Sevilla,Real Betis,5,1,2427
nPbT1WUs/,SP1,Celta Vigo,Mallorca,1,1,2428
SEWlfTtn/,E0,West Ham,Stoke City,1,1,2429
QT6r1Y5e/,I1,AS Roma,Torino,2,0,2430
GxGQ4aoM/,SP1,Real Sociedad,Rayo Vallecano,4,0,2431
dxcIcWPa/,F1,St Etienne,Valenciennes,1,0,2432
drrQ5xdC/,D1,Fortuna Dusseldorf,Hamburg SV,2,0,2433
tnbX0jpl/,SP1,Real Sociedad,Osasuna,0,0,2434
dfO5jotB/,E0,Manchester Utd,QPR,3,1,2435
AwMggmdh/,E0,Aston Villa,Arsenal,0,0,2436
I3P1iRQ4/,E0,Everton,Norwich City,1,1,2437
nqHImqQT/,E0,Sunderland,West Brom,2,4,2438
hMHElPAN/,E0,Stoke City,Fulham,1,0,2439
OtnT7nBo/,E0,Wigan,Reading,3,2,2440
nRkVfU9I/,F1,Paris Saint-Germain,Troyes,4,0,2441
jadMdju6/,F1,Sochaux,Nice,0,1,2442
QHlZglPO/,F1,Bastia,Lorient,2,1,2443
rZhEbCAg/,F1,AS Nancy Lorraine,AC Ajaccio,1,1,2444
vLxHIX1P/,F1,Stade de Reims,Brest,0,0,2445
EDTrEiAt/,F1,Stade Rennes,Evian Thonon Gaillard,0,1,2446
AoAxFtZP/,D1,VfL Wolfsburg,Werder Bremen,1,1,2447
IiqM6It6/,D1,SpVgg Greuther Furth,Nurnberg,0,0,2448
MPkD8vCg/,D1,Mainz,Borussia Dortmund,1,2,2449
ruIjiwsJ/,D1,Bayern Munich,Hannover 96,5,0,2450
WfBYFMJJ/,D1,Schalke 04,Eintracht Frankfurt,1,1,2451
lQWLEize/,I1,Palermo,Catania,3,1,2452
Kxcy0Aaf/,SP1,Malaga,Valencia,4,0,2453
M1ghdSbJ/,SP1,Real Betis,Real Madrid,1,0,2454
G4jpblU6/,SP1,Real Valladolid,Granada,1,0,2455
z998bIum/,SP1,Rayo Vallecano,Mallorca,2,0,2456
tfSun0P5/,E0,Swansea,Liverpool,0,0,2457
My8pq3Yp/,E0,Tottenham,West Ham,3,1,2458
OtQch7Bb/,E0,Chelsea,Manchester City,0,0,2459
EVIAk5eH/,E0,Southampton,Newcastle,2,0,2460
dxJmDBPn/,F1,Toulouse,Lyon,3,0,2461
UkeQeAfC/,F1,Montpellier,Bordeaux,1,0,2462
zTHiCVvg/,F1,Marseille,Lille,1,0,2463
S2j99Kdm/,D1,SC Freiburg,VfB Stuttgart,3,0,2464
0GlH7bRa/,D1,FC Augsburg,Borussia Monchengladbach,1,1,2465
GSn5A0ss/,D1,TSG Hoffenheim,Bayer Leverkusen,1,2,2466
MwVTCV47/,I1,US Pescara,AS Roma,0,1,2467
WlxHFXKl/,I1,AC Milan,Juventus,1,0,2468
zJjoLgcR/,I1,Chievo Verona,Siena,0,0,2469
vicxNFSE/,I1,Atalanta,Genoa,0,1,2470
YDYXBkKD/,I1,Sampdoria,Bologna,1,0,2471
xnaEKsOD/,I1,Torino,Fiorentina,2,2,2472
xEitaUE0/,SP1,Espanyol,Getafe,0,2,2473
QZJY4K2J/,SP1,Athletic Bilbao,Deportivo La Coruna,1,1,2474
4QIx4vIP/,SP1,Levante,Barcelona,0,4,2475
ARklc8qD/,SP1,Atletico Madrid,Sevilla,4,0,2476
SGVPDBk1/,I1,Parma,Internazionale,1,0,2477
MFnsMZsL/,I1,Cagliari,Napoli,0,1,2478
dIA4abQt/,SP1,Real Zaragoza,Celta Vigo,0,1,2479
2XpX66Qi/,E0,Aston Villa,Reading,1,0,2480
6Psl3OPG/,E0,Sunderland,QPR,0,0,2481
8MBrOJBt/,D1,Hannover 96,SpVgg Greuther Furth,2,0,2482
j5sU4dBI/,D1,Borussia Dortmund,Fortuna Dusseldorf,1,1,2483
WxI2JeQB/,D1,Eintracht Frankfurt,Mainz,1,3,2484
xGIbKyB5/,D1,Hamburg SV,Schalke 04,3,1,2485
hbwDGD5r/,I1,Lazio,Udinese,3,0,2486
hMwp44AA/,E0,Stoke City,Newcastle,2,1,2487
0nsh2ruN/,E0,Tottenham,Liverpool,2,1,2488
fcWqoKvC/,E0,Swansea,West Brom,3,1,2489
88bKetIj/,E0,Everton,Arsenal,1,1,2490
Aclu5pe4/,E0,Southampton,Norwich City,1,1,2491
vwtd12fT/,E0,Wigan,Manchester City,0,2,2492
UHaGdM2p/,E0,Chelsea,Fulham,0,0,2493
W6ky6Qub/,E0,Manchester Utd,West Ham,1,0,2494
UT1ovoT9/,F1,Marseille,Lyon,1,4,2495
tlPkMctg/,D1,Nurnberg,TSG Hoffenheim,4,2,2496
OCEfLHea/,D1,SC Freiburg,Bayern Munich,0,2,2497
6DPGSa3P/,D1,VfB Stuttgart,FC Augsburg,2,1,2498
48oY3GQO/,D1,Borussia Monchengladbach,VfL Wolfsburg,2,0,2499
2cQoNwRn/,D1,Werder Bremen,Bayer Leverkusen,1,4,2500
42MeBkfa/,F1,AC Ajaccio,St Etienne,0,0,2501
bmIsKSGM/,D1,Fortuna Dusseldorf,Eintracht Frankfurt,4,0,2502
pC2MILhQ/,I1,Catania,AC Milan,1,3,2503
IXbDcxeg/,SP1,Osasuna,Rayo Vallecano,1,0,2504
jkaadD81/,E0,West Ham,Chelsea,3,1,2505
IwtBI3P3/,E0,Manchester City,Everton,1,1,2506
phdibZwk/,E0,Reading,Manchester Utd,3,4,2507
MBn2KPfi/,E0,Fulham,Tottenham,0,3,2508
xMLlpvfI/,E0,Arsenal,Swansea,0,2,2509
zFj6JqAc/,E0,Liverpool,Southampton,1,0,2510
2T6naFOr/,E0,QPR,Aston Villa,1,1,2511
dSaecgge/,E0,West Brom,Stoke City,0,1,2512
8ANQO8Ob/,F1,Valenciennes,Stade de Reims,1,0,2513
CYCG6R8U/,F1,Lille,Bastia,0,0,2514
0pKIQUgn/,F1,Lyon,Montpellier,1,0,2515
MgLERAvt/,F1,Nice,Paris Saint-Germain,2,1,2516
QHA49TOB/,F1,Evian Thonon Gaillard,AS Nancy Lorraine,1,1,2517
YsEC77gO/,F1,Bordeaux,Sochaux,2,2,2518
ATG6IFuI/,D1,Bayern Munich,Borussia Dortmund,1,1,2519
4UYv07Pj/,D1,Bayer Leverkusen,Nurnberg,1,0,2520
CWFVMUW3/,D1,Mainz,Hannover 96,2,1,2521
Qwzy1mAp/,D1,Schalke 04,Borussia Monchengladbach,1,1,2522
jNEZLlnA/,D1,FC Augsburg,SC Freiburg,1,1,2523
KdJwL81G/,D1,SpVgg Greuther Furth,VfB Stuttgart,0,1,2524
xAs1Bwo0/,I1,Juventus,Torino,3,0,2525
Wz3HddAa/,SP1,Valencia,Real Sociedad,2,5,2526
Qc2LeGP5/,SP1,Getafe,Malaga,1,0,2527
A1WPhE9O/,SP1,Real Madrid,Atletico Madrid,2,0,2528
0QBZCHft/,SP1,Barcelona,Athletic Bilbao,5,1,2529
Q3qJGsfG/,E0,Norwich City,Sunderland,2,1,2530
rgLaA995/,F1,Troyes,Stade Rennes,2,3,2531
vLE88mvI/,F1,Lorient,Toulouse,1,0,2532
f7JMPl9h/,F1,Brest,Marseille,1,2,2533
IXMMOj2i/,D1,VfL Wolfsburg,Hamburg SV,1,1,2534
U7QQNAHc/,D1,TSG Hoffenheim,Werder Bremen,1,4,2535
UqvgDaGm/,I1,Genoa,Chievo Verona,2,4,2536
z3d68yVI/,I1,Siena,AS Roma,1,3,2537
G0t5Ac06/,I1,Lazio,Parma,2,1,2538
dCc29HFC/,I1,Napoli,US Pescara,5,1,2539
nLllEu1s/,I1,Fiorentina,Sampdoria,2,2,2540
GxbIJ1wK/,I1,Bologna,Atalanta,2,1,2541
l6plXK7J/,I1,Udinese,Cagliari,4,1,2542
rmrcCJVg/,I1,Internazionale,Palermo,1,0,2543
O4K7HcnP/,SP1,Deportivo La Coruna,Real Betis,2,3,2544
Mu0rBePh/,SP1,Mallorca,Real Zaragoza,1,1,2545
rk1vCyAn/,SP1,Celta Vigo,Levante,1,1,2546
4l1PfzuC/,SP1,Granada,Espanyol,0,0,2547
dUvFHNvA/,E0,Newcastle,Wigan,3,0,2548
WAXLgffI/,SP1,Sevilla,Real Valladolid,1,2,2549
IqDAOaUF/,F1,Toulouse,Bastia,0,0,2550
xf59YRVF/,D1,Hamburg SV,TSG Hoffenheim,2,0,2551
O4da7DOH/,SP1,Espanyol,Sevilla,2,2,2552
O2JxAWx1/,E0,Wigan,QPR,2,2,2553
GCKhqb9O/,E0,Swansea,Norwich City,3,4,2554
beMQCYhr/,E0,Southampton,Reading,1,0,2555
6csnKG08/,E0,Aston Villa,Stoke City,0,0,2556
Uub3eXN7/,E0,Arsenal,West Brom,2,0,2557
xnLUBh8l/,E0,Sunderland,Chelsea,1,3,2558
vgE6PuF9/,F1,Stade Rennes,Brest,2,2,2559
zPw74vwp/,F1,Sochaux,Lille,1,1,2560
jZCVNSw5/,F1,AS Nancy Lorraine,Valenciennes,1,1,2561
rRKcR1pc/,F1,Paris Saint-Germain,Evian Thonon Gaillard,4,0,2562
ImTB3bhj/,F1,Montpellier,AC Ajaccio,3,0,2563
baGwM68H/,F1,Troyes,Nice,1,1,2564
CfbIDQgj/,D1,VfB Stuttgart,Schalke 04,3,1,2565
UT11zl13/,D1,SC Freiburg,SpVgg Greuther Furth,1,0,2566
tC7nJnWS/,D1,Borussia Dortmund,VfL Wolfsburg,2,3,2567
jw3cyUoc/,D1,Nurnberg,Fortuna Dusseldorf,2,0,2568
Oj15Z7G9/,D1,FC Augsburg,Bayern Munich,0,2,2569
KIfEXooM/,D1,Eintracht Frankfurt,Werder Bremen,4,1,2570
29lhWvNP/,I1,Atalanta,Parma,2,1,2571
zHyuNzpC/,I1,AS Roma,Fiorentina,4,2,2572
U53j9Zg5/,SP1,Real Sociedad,Getafe,1,1,2573
jF4nAFva/,SP1,Osasuna,Valencia,0,1,2574
IRe36XwO/,SP1,Real Valladolid,Real Madrid,2,3,2575
CUhe8g9B/,SP1,Malaga,Granada,4,0,2576
pCKYACNf/,E0,West Ham,Liverpool,2,3,2577
hEqbHEpR/,E0,Manchester City,Manchester Utd,2,3,2578
pltjJzGE/,E0,Everton,Tottenham,2,1,2579
MHJ1QLa3/,F1,Stade de Reims,Bordeaux,0,0,2580
UPBZMngB/,F1,St Etienne,Lyon,0,1,2581
UNWF2I7d/,F1,Marseille,Lorient,0,3,2582
IXbEE6vp/,D1,Borussia Monchengladbach,Mainz,2,0,2583
jocMCp9d/,D1,Hannover 96,Bayer Leverkusen,3,2,2584
nsQOQIpm/,I1,Cagliari,Chievo Verona,0,2,2585
GGUSPx0g/,I1,Internazionale,Napoli,2,1,2586
pnJVqbiP/,I1,Torino,AC Milan,2,4,2587
xWIyOGU5/,I1,US Pescara,Genoa,2,0,2588
f7TWOdFa/,I1,Palermo,Juventus,0,1,2589
8UZnLEEO/,I1,Siena,Catania,1,3,2590
dhRDQzPu/,SP1,Real Betis,Barcelona,1,2,2591
dIf75igU/,SP1,Atletico Madrid,Deportivo La Coruna,6,0,2592
zqQHPfvn/,SP1,Athletic Bilbao,Celta Vigo,1,0,2593
U5PLOEgh/,SP1,Levante,Mallorca,4,0,2594
vBufIfVK/,E0,Fulham,Newcastle,2,1,2595
UwyqMfaI/,I1,Sampdoria,Udinese,0,2,2596
8jRKRbVt/,I1,Bologna,Lazio,0,0,2597
r9TPNY8b/,SP1,Rayo Vallecano,Real Zaragoza,0,2,2598
pWzfhhg8/,E0,Sunderland,Reading,3,0,2599
I7igGyxd/,F1,Lille,Toulouse,2,0,2600
pKWiywEL/,F1,Valenciennes,Paris Saint-Germain,0,4,2601
dbjcFei2/,F1,Nice,Stade Rennes,1,0,2602
C6Yqwaq9/,F1,Bastia,Marseille,1,2,2603
C6CENJqM/,F1,AC Ajaccio,Stade de Reims,2,0,2604
6TXmxJbF/,F1,Brest,Montpellier,1,2,2605
b3UuvuU2/,F1,Lyon,AS Nancy Lorraine,1,1,2606
Q9GIMwaS/,F1,Evian Thonon Gaillard,Troyes,2,0,2607
WjgoIc7q/,F1,Lorient,Sochaux,2,0,2608
AshkHHMk/,F1,Bordeaux,St Etienne,0,0,2609
pYBQkxTE/,F1,Stade Rennes,Valenciennes,2,0,2610
b9gIW50S/,D1,Bayern Munich,Borussia Monchengladbach,1,1,2611
COaXVDaK/,E0,Newcastle,Manchester City,1,3,2612
UafxVXEQ/,E0,Norwich City,Wigan,2,1,2613
W8t4QiNs/,E0,QPR,Fulham,2,1,2614
YX0TWgpE/,E0,Manchester Utd,Sunderland,3,1,2615
KUCo8A7D/,E0,Liverpool,Aston Villa,1,3,2616
OGbBOVif/,E0,Stoke City,Everton,1,1,2617
IRJvSYz8/,F1,Nice,Evian Thonon Gaillard,3,2,2618
dCVVTf6e/,F1,Sochaux,Brest,1,2,2619
bRCSUzik/,F1,Troyes,AC Ajaccio,3,2,2620
6sDMjID8/,F1,Stade de Reims,Lille,1,1,2621
Sd1VldrL/,F1,Toulouse,Marseille,0,1,2622
vyLzTEL1/,F1,Montpellier,Bastia,4,0,2623
UiplRqOk/,D1,Bayer Leverkusen,Hamburg SV,3,0,2624
j1opSP8q/,D1,Schalke 04,SC Freiburg,1,3,2625
KWZnno0F/,D1,SpVgg Greuther Furth,FC Augsburg,1,1,2626
bNYjo5FL/,D1,Fortuna Dusseldorf,Hannover 96,2,1,2627
2eurmRp9/,D1,Mainz,VfB Stuttgart,3,1,2628
CGZhQ3wd/,D1,VfL Wolfsburg,Eintracht Frankfurt,0,2,2629
Ae1xtkji/,I1,Udinese,Palermo,1,1,2630
O0dIzfEB/,I1,Lazio,Internazionale,1,0,2631
Kfv4yhwb/,SP1,Granada,Real Sociedad,0,0,2632
Y35oJANT/,SP1,Mallorca,Athletic Bilbao,0,1,2633
bow8zCh4/,SP1,Sevilla,Malaga,0,2,2634
2JqaxYNi/,SP1,Getafe,Osasuna,1,1,2635
6ulGNk70/,E0,West Brom,West Ham,0,0,2636
UTNZ7snP/,E0,Tottenham,Swansea,1,0,2637
t05ZmGcR/,F1,Paris Saint-Germain,Lyon,1,0,2638
2eRdzcTR/,F1,AS Nancy Lorraine,Bordeaux,1,1,2639
44DOVGyq/,F1,St Etienne,Lorient,0,2,2640
A1hdPNh2/,D1,Werder Bremen,Nurnberg,1,1,2641
O4tvl7V2/,D1,TSG Hoffenheim,Borussia Dortmund,1,3,2642
ne5cuIat/,I1,Catania,Sampdoria,3,1,2643
GzcEyza5/,I1,Juventus,Atalanta,3,0,2644
rk9jIobp/,I1,Napoli,Bologna,2,3,2645
fL85wdUh/,I1,Fiorentina,Siena,4,1,2646
2ieMZDTH/,I1,AC Milan,US Pescara,4,1,2647
dhDfH5Dj/,I1,Parma,Cagliari,4,1,2648
tI41vxFn/,I1,Chievo Verona,AS Roma,1,0,2649
xpbAxGqa/,I1,Genoa,Torino,1,1,2650
OSpewE8o/,SP1,Valencia,Rayo Vallecano,0,1,2651
QXIUMhO4/,SP1,Real Madrid,Espanyol,2,2,2652
ClHxLWhH/,SP1,Barcelona,Atletico Madrid,4,1,2653
