id_odsp,league,ht,at,fthg,ftag,MATCH_ID
jRPmWlS6/,SP1,Valencia,Racing Santander,4,3,96
O2rLz4Jh/,SP1,Granada,Real Betis,0,1,97
CtEdUSdJ/,SP1,Sporting Gijon,Real Sociedad,1,2,98
Aa4VvaQR/,E0,Manchester Utd,Arsenal,8,2,99
GQE5zJYr/,E0,Newcastle,Fulham,2,1,100
p0J9Zxlk/,E0,Tottenham,Manchester City,1,5,101
OjIDYd3e/,E0,West Brom,Stoke City,0,1,102
MDMiFJI8/,F1,Stade Rennes,Caen,3,2,103
IuG0DcmL/,F1,Toulouse,Paris Saint-Germain,1,3,104
4xCdEwYE/,F1,Sochaux,St Etienne,2,1,105
vBv3fxdk/,F1,Lille,Marseille,3,2,106
2iMUPaQ8/,D1,Hannover 96,Mainz,1,1,107
6uBz2dY1/,D1,Schalke 04,Borussia Monchengladbach,1,0,108
C88uY13B/,SP1,Real Zaragoza,Real Madrid,0,6,109
UaoTYsl5/,SP1,Athletic Bilbao,Rayo Vallecano,1,1,110
zwnPZNYb/,SP1,Mallorca,Espanyol,1,0,111
YkFhV8sD/,SP1,Atletico Madrid,Osasuna,0,0,112
Uq3pXLIH/,SP1,Getafe,Levante,1,1,113
tvgGyp4n/,SP1,Sevilla,Malaga,2,1,114
2mfCxQlt/,SP1,Barcelona,Villarreal,5,0,115
jLzeUf2l/,D1,FC Augsburg,Bayer Leverkusen,1,4,116
W0scuwXc/,I1,AC Milan,Lazio,2,2,117
ShK8nGXf/,E0,Sunderland,Chelsea,1,2,118
zBNCeKA8/,E0,Everton,Aston Villa,2,2,119
WxHLgbuL/,E0,Manchester City,Wigan,3,0,120
6qJCozm1/,E0,Wolves,Tottenham,0,2,121
nqCF8Xh2/,E0,Arsenal,Swansea,1,0,122
pUU3mdIl/,E0,Stoke City,Liverpool,1,0,123
IkBMWzY7/,E0,Bolton,Manchester Utd,0,5,124
ID3RLfur/,F1,Sochaux,Lorient,1,1,125
KhMe4gA7/,F1,Marseille,Stade Rennes,0,1,126
ITPv8yBr/,F1,AC Ajaccio,Valenciennes,3,1,127
z5Kq7eQl/,F1,Bordeaux,Evian Thonon Gaillard,0,0,128
EeJm6Fue/,F1,Caen,Toulouse,0,1,129
CWQbQzXQ/,F1,St Etienne,Lille,1,3,130
8IIi5Zf1/,F1,Dijon FCO,Lyon,1,2,131
8CDrVzmr/,D1,Borussia Monchengladbach,Kaiserslautern,1,0,132
pKeGywAE/,D1,VfB Stuttgart,Hannover 96,3,0,133
QgkLDZH7/,D1,Werder Bremen,Hamburg SV,2,0,134
n3jHEF21/,D1,Bayern Munich,SC Freiburg,7,0,135
IToDFeme/,D1,Borussia Dortmund,Hertha Berlin,1,2,136
WGiCxJf8/,D1,Mainz,TSG Hoffenheim,0,4,137
zesOOHnH/,I1,Cesena,Napoli,1,3,138
vJhKQJeo/,SP1,Real Sociedad,Barcelona,2,2,139
bBByVmEG/,SP1,Real Madrid,Getafe,4,2,140
8z2lWuYN/,SP1,Valencia,Atletico Madrid,1,0,141
n9s9ZBao/,SP1,Villarreal,Sevilla,2,2,142
ATFPhIfR/,E0,Norwich City,West Brom,0,1,143
E1MGfvQE/,E0,Fulham,Blackburn,1,1,144
46NjSd2E/,F1,AS Nancy Lorraine,AJ Auxerre,0,0,145
YuSfRGHK/,F1,Paris Saint-Germain,Brest,1,0,146
QFOnTxm8/,F1,Montpellier,Nice,1,0,147
IXgOZGvR/,D1,VfL Wolfsburg,Schalke 04,2,1,148
vseKzcPK/,D1,FC Cologne,Nurnberg,1,2,149
YVMbIFPp/,I1,Genoa,Atalanta,2,2,150
tYsKPcXA/,I1,Catania,Siena,0,0,151
vRp5wH1A/,I1,AS Roma,Cagliari,1,2,152
WMzXMeHT/,I1,Fiorentina,Bologna,2,0,153
Ait1vcn4/,I1,Palermo,Internazionale,4,3,154
EotSNy2N/,I1,Chievo Verona,Novara,2,2,155
lxhhtJHi/,I1,Lecce,Udinese,0,2,156
jiZlsa2o/,I1,Juventus,Parma,4,1,157
hYAuU7TM/,SP1,Racing Santander,Levante,0,0,158
KzeGXkUc/,SP1,Real Betis,Mallorca,1,0,159
